# TYPE, TYPENAME, MPITYPE
float, float, MPI_FLOAT
double, double, MPI_DOUBLE
long double, longdouble, MPI_LONG_DOUBLE
char, char, MPI_CHAR
signed char, schar, MPI_SIGNED_CHAR
short, short, MPI_SHORT
int, int, MPI_INT
long, long, MPI_LONG
long long, longlong, MPI_LONG_LONG
unsigned char, uchar, MPI_UNSIGNED_CHAR
unsigned short, ushort, MPI_UNSIGNED_SHORT
unsigned int, uint, MPI_UNSIGNED
unsigned long, ulong, MPI_UNSIGNED_LONG
unsigned long long, ulonglong, MPI_UNSIGNED_LONG_LONG
int8_t, int8, MPI_INT8_T
int16_t, int16, MPI_INT16_T
int32_t, int32, MPI_INT32_T
int64_t, int64, MPI_INT64_T
uint8_t, uint8, MPI_UINT8_T
uint16_t, uint16, MPI_UINT16_T
uint32_t, uint32, MPI_UINT32_T
uint64_t, uint64, MPI_UINT64_T
size_t, size, OSHMPI_MPI_SIZE_T
ptrdiff_t, ptrdiff, OSHMPI_MPI_PTRDIFF_T
